"cve.CVE_data_meta.ID",lastModifiedDate,yearandcve,v3BaseScore,v2BaseScore,v2ExploitScore,v3ExploitScore,linecount,cve,v3impact,v2impact,v3Severity,description,"cve.problemtype.problemtype_data{}.description{}.value",NodescriptionLength,Nolinecount,Nov2BaseScore,Nov2ExploitScore,Nov3BaseScore,Nov3ExploitScore,counted,descriptionLength
"CVE-2021-43225","2022-02-09T23:49Z","2021-43225","9.8","7.5","10.0","3.9",88,43225,HIGH,PARTIAL,CRITICAL,"Bot Framework SDK Remote Code Execution Vulnerability","CWE-94",53,88,"7.5","10.0","9.8","3.9","172.2",53
"CVE-2021-43905","2022-01-01T17:49Z","2021-43905","9.6","6.8","8.6","2.8",89,43905,HIGH,PARTIAL,CRITICAL,"Microsoft Office app Remote Code Execution Vulnerability","NVD-CWE-noinfo",56,89,"6.8","8.6","9.6","2.8","172.8",56
"CVE-2020-19038","2021-07-15T14:24Z","2020-19038","9.1","6.4","10.0","3.9",88,19038,NONE,NONE,CRITICAL,"File Deletion vulnerability in Halo 0.4.3 via delBackup.","CWE-862",56,88,"6.4","10.0","9.1","3.9","173.4",56
"CVE-2018-20222","2019-04-08T11:56Z","2018-20222","9.8","7.5","10.0","3.9",94,20222,HIGH,PARTIAL,CRITICAL,"XXE issue in Airsonic before 10.1.2 during parse.","CWE-611",49,94,"7.5","10.0","9.8","3.9","174.2",49
"CVE-2020-17002","2021-03-03T21:33Z","2020-17002","9.1","9.4","10.0","3.9",89,17002,HIGH,COMPLETE,CRITICAL,"Azure SDK for C Security Feature Bypass Vulnerability","NVD-CWE-noinfo",53,89,"9.4","10.0","9.1","3.9","174.4",53
"CVE-2019-10850","2019-05-24T18:33Z","2019-10850","9.8","10.0","10.0","3.9",94,10850,HIGH,COMPLETE,CRITICAL,"Computrols CBAS 18.0.0 has Default Credentials.","CWE-798",47,94,"10.0","10.0","9.8","3.9","174.7",47
"CVE-2021-43214","2022-02-10T00:00Z","2021-43214","9.8","7.5","10.0","3.9",89,43214,HIGH,PARTIAL,CRITICAL,"Web Media Extensions Remote Code Execution Vulnerability","CWE-94",56,89,"7.5","10.0","9.8","3.9","176.2",56
"CVE-2020-17105","2020-11-24T20:10Z","2020-17105","9.8","10.0","10.0","3.9",88,17105,HIGH,COMPLETE,CRITICAL,"AV1 Video Extension Remote Code Execution Vulnerability","NVD-CWE-noinfo",55,88,"10.0","10.0","9.8","3.9","176.7",55
"CVE-2019-15559","2019-08-29T18:23Z","2019-15559","9.8","7.5","10.0","3.9",89,15559,HIGH,PARTIAL,CRITICAL,"DianoxDragon Hawn before 2019-07-10 allows SQL injection.","CWE-89",57,89,"7.5","10.0","9.8","3.9","177.2",57
"CVE-2020-13382","2021-07-21T11:39Z","2020-13382","9.1","6.4","10.0","3.9",99,13382,HIGH,PARTIAL,CRITICAL,"openSIS through 7.4 has Incorrect Access Control.","CWE-306",49,99,"6.4","10.0","9.1","3.9","177.4",49
"CVE-2021-44219","2021-11-30T07:15Z","2021-44219","9.8","7.5","10.0","3.9",94,44219,HIGH,PARTIAL,CRITICAL,"Gin-Vue-Admin before 2.4.6 mishandles a SQL database.","NVD-CWE-noinfo",53,94,"7.5","10.0","9.8","3.9","178.2",53
"CVE-2020-13854","2020-06-11T18:44Z","2020-13854","9.8","10.0","10.0","3.9",93,13854,HIGH,COMPLETE,CRITICAL,"Artica Pandora FMS 7.44 allows privilege escalation.","CWE-269",52,93,"10.0","10.0","9.8","3.9","178.7",52
"CVE-2021-38606","2021-08-20T19:53Z","2021-38606","9.8","7.5","10.0","3.9",89,38606,HIGH,PARTIAL,CRITICAL,"reNgine through 0.5 relies on a predictable directory name.","NVD-CWE-noinfo",59,89,"7.5","10.0","9.8","3.9","179.2",59
"CVE-2020-36474","2021-08-24T15:36Z","2020-36474","9.8","7.5","10.0","3.9",93,36474,HIGH,PARTIAL,CRITICAL,"SafeCurl before 0.9.2 has a DNS rebinding vulnerability.","NVD-CWE-Other",56,93,"7.5","10.0","9.8","3.9","180.2",56
"CVE-2019-17132","2021-07-21T11:39Z","2019-17132","9.8","6.8","8.6","3.9",102,17132,HIGH,PARTIAL,CRITICAL,"vBulletin through 5.5.4 mishandles custom avatars.","CWE-94
CWE-20",50,102,"6.8","8.6","9.8","3.9","181.1",50
"CVE-2020-28102","2022-01-14T18:29Z","2020-28102","9.8","7.5","10.0","3.9",88,28102,HIGH,PARTIAL,CRITICAL,"cscms v4.1 allows for SQL injection via the ""js_del"" function.","CWE-89",62,88,"7.5","10.0","9.8","3.9","181.2",62
"CVE-2018-13342","2019-01-09T21:53Z","2018-13342","9.8","7.5","10.0","3.9",88,13342,HIGH,PARTIAL,CRITICAL,"The server API in the Anda app relies on hardcoded credentials.","CWE-798",63,88,"7.5","10.0","9.8","3.9","182.2",63
"CVE-2020-28103","2022-01-14T18:30Z","2020-28103","9.8","7.5","10.0","3.9",88,28103,HIGH,PARTIAL,CRITICAL,"cscms v4.1 allows for SQL injection via the ""page_del"" function.","CWE-89",64,88,"7.5","10.0","9.8","3.9","183.2",64
"CVE-2020-35604","2020-12-22T17:16Z","2020-35604","9.8","9.3","8.6","3.9",88,35604,HIGH,COMPLETE,CRITICAL,"An XXE attack can occur in Kronos WebTA 5.0.4 when SAML is used.","CWE-611",64,88,"9.3","8.6","9.8","3.9","183.6",64
"CVE-2019-17124","2022-03-30T17:15Z","2019-17124","9.8","10.0","10.0","3.9",93,17124,HIGH,COMPLETE,CRITICAL,"Kramer VIAware 2.5.0719.1034 has Incorrect Access Control.","CWE-276",58,93,"10.0","10.0","9.8","3.9","184.7",58
"CVE-2020-26100","2020-09-29T15:36Z","2020-26100","9.8","7.5","10.0","3.9",89,26100,HIGH,PARTIAL,CRITICAL,"chsh in cPanel before 88.0.3 allows a Jailshell escape (SEC-497).","NVD-CWE-Other",65,89,"7.5","10.0","9.8","3.9","185.2",65
"CVE-2020-19853","2021-09-10T15:25Z","2020-19853","9.8","7.5","10.0","3.9",88,19853,HIGH,PARTIAL,CRITICAL,"BlueCMS v1.6 contains a SQL injection vulnerability via /ad_js.php.","CWE-89",67,88,"7.5","10.0","9.8","3.9","186.2",67
"CVE-2019-16872","2020-08-24T17:37Z","2019-16872","9.9","9.0","8.0","3.1",89,16872,HIGH,COMPLETE,CRITICAL,"Portainer before 1.22.1 has Incorrect Access Control (issue 1 of 4).","NVD-CWE-noinfo",68,89,"9.0","8.0","9.9","3.1","187.0",68
"CVE-2020-35775","2021-04-19T20:13Z","2020-35775","9.8","7.5","10.0","3.9",109,35775,HIGH,PARTIAL,CRITICAL,"CITSmart before 9.1.2.23 allows LDAP Injection.","CWE-74",47,109,"7.5","10.0","9.8","3.9","187.2",47
"CVE-2021-30194","2021-05-25T20:19Z","2021-30194","9.1","6.4","10.0","3.9",94,30194,HIGH,PARTIAL,CRITICAL,"CODESYS V2 Web-Server before 1.1.9.20 has an Out-of-bounds Read.","CWE-125",64,94,"6.4","10.0","9.1","3.9","187.4",64
"CVE-2013-20004","2022-02-11T03:18Z","2013-20004","9.8","7.5","10.0","3.9",89,20004,HIGH,PARTIAL,CRITICAL,"StarWind iSCSI SAN before 6.0 build 2013-03-20 allows a memory leak.","CWE-400",68,89,"7.5","10.0","9.8","3.9","188.2",68
"CVE-2019-13462","2019-08-15T20:43Z","2019-13462","9.1","6.4","10.0","3.9",94,13462,HIGH,PARTIAL,CRITICAL,"Lansweeper before 7.1.117.4 allows unauthenticated SQL injection.","CWE-89",65,94,"6.4","10.0","9.1","3.9","188.4",65
"CVE-2020-35545","2020-12-21T19:42Z","2020-35545","9.8","7.5","10.0","3.9",88,35545,HIGH,PARTIAL,CRITICAL,"Time-based SQL injection exists in Spotweb 1.4.9 via the query string.","CWE-89",70,88,"7.5","10.0","9.8","3.9","189.2",70
"CVE-2021-39616","2022-02-15T18:14Z","2021-39616","9.8","10.0","10.0","3.9",88,39616,HIGH,COMPLETE,CRITICAL,"Summary:Product: AndroidVersions: Android SoCAndroid ID: A-204686438","NVD-CWE-noinfo",68,88,"10.0","10.0","9.8","3.9","189.7",68
"CVE-2021-36364","2021-10-04T14:49Z","2021-36364","9.8","7.5","10.0","3.9",94,36364,HIGH,PARTIAL,CRITICAL,"Nagios XI before 5.8.5 incorrectly allows backup_xi.sh wildcards.","NVD-CWE-noinfo",65,94,"7.5","10.0","9.8","3.9","190.2",65
"CVE-2017-13667","2019-05-28T16:11Z","2017-13667","9.9","6.5","8.0","3.1",94,13667,HIGH,PARTIAL,CRITICAL,"OX Software GmbH OX App Suite 7.8.4 and earlier is affected by: SSRF.","CWE-918",69,94,"6.5","8.0","9.9","3.1","190.5",69
"CVE-2021-43907","2022-01-01T17:49Z","2021-43907","9.8","10.0","10.0","3.9",89,43907,HIGH,COMPLETE,CRITICAL,"Visual Studio Code WSL Extension Remote Code Execution Vulnerability","NVD-CWE-noinfo",68,89,"10.0","10.0","9.8","3.9","190.7",68
"CVE-2021-30190","2021-05-26T12:15Z","2021-30190","9.8","7.5","10.0","3.9",94,30190,HIGH,PARTIAL,CRITICAL,"CODESYS V2 Web-Server before 1.1.9.20 has Improper Access Control.","CWE-668",66,94,"7.5","10.0","9.8","3.9","191.2",66
"CVE-2020-24374","2020-11-13T21:15Z","2020-24374","9.6","6.8","8.6","2.8",106,24374,HIGH,PARTIAL,CRITICAL,"A DNS rebinding vulnerability in Freebox v5 before 1.5.29.","CWE-20",58,106,"6.8","8.6","9.6","2.8","191.8",58
"CVE-2020-22208","2021-06-21T16:52Z","2020-22208","9.8","7.5","10.0","3.9",88,22208,HIGH,PARTIAL,CRITICAL,"SQL Injection in 74cms 3.2.0 via the x parameter to plus/ajax_street.php.","CWE-89",73,88,"7.5","10.0","9.8","3.9","192.2",73
"CVE-2018-14961","2018-10-04T15:23Z","2018-14961","9.8","5.0","10.0","3.9",92,14961,HIGH,PARTIAL,CRITICAL,"dl/dl_sendmail.php in zzcms 8.3 has SQL Injection via the sql parameter.","CWE-89",72,92,"5.0","10.0","9.8","3.9","192.7",72
"CVE-2020-21806","2021-08-03T23:42Z","2020-21806","9.8","7.5","10.0","3.9",88,21806,HIGH,PARTIAL,CRITICAL,"SQL Injection Vulnerability in ECTouch v2 via the shop page in index.php..","CWE-89",74,88,"7.5","10.0","9.8","3.9","193.2",74
"CVE-2019-16127","2020-10-30T15:49Z","2019-16127","9.1","6.4","10.0","3.9",98,16127,HIGH,PARTIAL,CRITICAL,"Atmel Advanced Software Framework (ASF) 4 has an Integer Overflow.","CWE-190",66,98,"6.4","10.0","9.1","3.9","193.4",66
"CVE-2021-46093","2022-02-02T19:37Z","2021-46093","9.8","7.5","10.0","3.9",88,46093,HIGH,PARTIAL,CRITICAL,"eliteCMS v1.0 is vulnerable to Insecure Permissions via manage_uploads.php.","CWE-276",75,88,"7.5","10.0","9.8","3.9","194.2",75
"CVE-2018-15362","2019-02-06T13:28Z","2018-15362","9.1","6.4","10.0","3.9",106,15362,HIGH,PARTIAL,CRITICAL,"XXE in GE Proficy Cimplicity GDS versions 9.0 R2, 9.5, 10.0","CWE-611",59,106,"6.4","10.0","9.1","3.9","194.4",59
"CVE-2021-38302","2021-08-23T17:36Z","2021-38302","9.8","7.5","10.0","3.9",94,38302,HIGH,PARTIAL,CRITICAL,"The Newsletter extension through 4.0.0 for TYPO3 allows SQL Injection.","CWE-89",70,94,"7.5","10.0","9.8","3.9","195.2",70
"CVE-2021-45090","2022-01-05T19:07Z","2021-45090","9.8","10.0","10.0","3.9",90,45090,HIGH,COMPLETE,CRITICAL,"Stormshield Endpoint Security before 2.1.2 allows remote code execution.","NVD-CWE-noinfo",72,90,"10.0","10.0","9.8","3.9","195.7",72
"CVE-2021-36366","2021-10-04T14:49Z","2021-36366","9.8","7.5","10.0","3.9",94,36366,HIGH,PARTIAL,CRITICAL,"Nagios XI before 5.8.5 incorrectly allows manage_services.sh wildcards.","NVD-CWE-noinfo",71,94,"7.5","10.0","9.8","3.9","196.2",71
"CVE-2018-14007","2018-10-23T18:14Z","2018-14007","9.8","10.0","10.0","3.9",105,14007,HIGH,COMPLETE,CRITICAL,"Citrix XenServer 7.1 and newer allows Directory Traversal.","CWE-22",58,105,"10.0","10.0","9.8","3.9","196.7",58
"CVE-2021-34450","2021-07-22T16:54Z","2021-34450","9.9","9.0","8.0","3.1",116,34450,HIGH,COMPLETE,CRITICAL,"Windows Hyper-V Remote Code Execution Vulnerability","NVD-CWE-noinfo",51,116,"9.0","8.0","9.9","3.1","197.0",51
"CVE-2021-39655","2021-12-20T22:15Z","2021-39655","9.8","7.5","10.0","3.9",88,39655,HIGH,PARTIAL,CRITICAL,"Product: AndroidVersions: Android kernelAndroid ID: A-192641593References: N/A","CWE-269",78,88,"7.5","10.0","9.8","3.9","197.2",78
"CVE-2021-43735","2022-03-29T01:05Z","2021-43735","9.8","7.5","10.0","3.9",88,43735,HIGH,PARTIAL,CRITICAL,"CmsWing 1.3.7 is affected by a SQLi vulnerability via parameter: behavior rule.","CWE-89",79,88,"7.5","10.0","9.8","3.9","198.2",79
"CVE-2021-27670","2021-03-02T13:22Z","2021-27670","9.8","7.5","10.0","3.9",88,27670,HIGH,PARTIAL,CRITICAL,"Appspace 6.2.4 allows SSRF via the api/v1/core/proxy/jsonprequest url parameter.","CWE-918",80,88,"7.5","10.0","9.8","3.9","199.2",80
"CVE-2021-39737","2022-03-23T15:00Z","2021-39737","9.8","10.0","10.0","3.9",88,39737,HIGH,COMPLETE,CRITICAL,"Product: AndroidVersions: Android kernelAndroid ID: A-208229524References: N/A","NVD-CWE-noinfo",78,88,"10.0","10.0","9.8","3.9","199.7",78
"CVE-2021-36363","2021-10-01T14:07Z","2021-36363","9.8","7.5","10.0","3.9",94,36363,HIGH,PARTIAL,CRITICAL,"Nagios XI before 5.8.5 has Incorrect Permission Assignment for migrate.php.","CWE-276",75,94,"7.5","10.0","9.8","3.9","200.2",75
"CVE-2021-32615","2021-05-21T20:06Z","2021-32615","9.8","7.5","10.0","3.9",93,32615,HIGH,PARTIAL,CRITICAL,"Piwigo 11.4.0 allows admin/user_list_backend.php order[0][dir] SQL Injection.","CWE-89",77,93,"7.5","10.0","9.8","3.9","201.2",77
"CVE-2021-46660","2022-02-04T15:23Z","2021-46660","9.8","7.5","10.0","3.9",94,46660,HIGH,PARTIAL,CRITICAL,"Signiant Manager+Agents before 15.1 allows XML External Entity (XXE) attacks.","CWE-611",77,94,"7.5","10.0","9.8","3.9","202.2",77
"CVE-2021-37549","2021-08-12T18:34Z","2021-37549","9.1","6.4","10.0","3.9",89,37549,HIGH,PARTIAL,CRITICAL,"In JetBrains YouTrack before 2021.1.11111, sandboxing in workflows was insufficient.","NVD-CWE-noinfo",84,89,"6.4","10.0","9.1","3.9","202.4",84
"CVE-2021-28237","2021-12-06T19:08Z","2021-28237","9.8","7.5","10.0","3.9",88,28237,HIGH,PARTIAL,CRITICAL,"LibreDWG v0.12.3 was discovered to contain a heap-buffer overflow via decode_preR13.","CWE-787",84,88,"7.5","10.0","9.8","3.9","203.2",84
"CVE-2021-41844","2021-12-17T13:30Z","2021-41844","9.8","7.5","10.0","3.9",89,41844,HIGH,PARTIAL,CRITICAL,"Crocoblock JetEngine before 2.9.1 does not properly validate and sanitize form data.","CWE-20",84,89,"7.5","10.0","9.8","3.9","204.2",84
"CVE-2018-14916","2020-08-24T17:37Z","2018-14916","9.1","9.4","10.0","3.9",111,14916,NONE,NONE,CRITICAL,"LOYTEC LGATE-902 6.3.2 devices allow Arbitrary file deletion.","CWE-732",61,111,"9.4","10.0","9.1","3.9","204.4",61
"CVE-2019-15940","2019-10-04T18:04Z","2019-15940","9.8","10.0","10.0","3.9",105,15940,HIGH,COMPLETE,CRITICAL,"Victure PC530 devices allow unauthenticated TELNET access as root.","CWE-306",66,105,"10.0","10.0","9.8","3.9","204.7",66
"CVE-2021-43899","2022-01-01T17:49Z","2021-43899","9.8","7.5","10.0","3.9",101,43899,HIGH,PARTIAL,CRITICAL,"Microsoft 4K Wireless Display Adapter Remote Code Execution Vulnerability","CWE-94",73,101,"7.5","10.0","9.8","3.9","205.2",73
"CVE-2016-10926","2019-08-26T14:30Z","2016-10926","10.0","6.4","10.0","3.9",89,10926,HIGH,PARTIAL,CRITICAL,"The nelio-ab-testing plugin before 4.5.9 for WordPress has SSRF in ajax/iesupport.php.","CWE-918",86,89,"6.4","10.0","10.0","3.9","205.3",86
"CVE-2018-21245","2020-06-22T13:15Z","2018-21245","9.1","6.4","10.0","3.9",94,21245,HIGH,PARTIAL,CRITICAL,"Pound before 2.8 allows HTTP request smuggling, a related issue to CVE-2016-10711.","CWE-444",82,94,"6.4","10.0","9.1","3.9","205.4",82
"CVE-2018-12925","2019-10-03T00:03Z","2018-12925","9.8","10.0","10.0","3.9",99,12925,HIGH,COMPLETE,CRITICAL,"Baseon Lantronix MSS devices do not require a password for TELNET access.","CWE-521",73,99,"10.0","10.0","9.8","3.9","205.7",73
"CVE-2021-43084","2022-03-29T15:48Z","2021-43084","9.8","7.5","10.0","3.9",88,43084,HIGH,PARTIAL,CRITICAL,"An SQL Injection vulnerability exists in Dreamer CMS 4.0.0 via the tableName parameter.","CWE-89",87,88,"7.5","10.0","9.8","3.9","206.2",87
"CVE-2016-10927","2019-08-26T14:30Z","2016-10927","10.0","6.4","10.0","3.9",89,10927,HIGH,PARTIAL,CRITICAL,"The nelio-ab-testing plugin before 4.5.11 for WordPress has SSRF in ajax/iesupport.php.","CWE-918",87,89,"6.4","10.0","10.0","3.9","206.3",87
"CVE-2020-20675","2021-08-27T21:02Z","2020-20675","9.8","7.5","10.0","3.9",88,20675,HIGH,PARTIAL,CRITICAL,"Nuishop v2.3 contains a SQL injection vulnerability in /goods/getGoodsListByConditions/.","CWE-89",88,88,"7.5","10.0","9.8","3.9","207.2",88
"CVE-2021-38672","2021-10-19T22:42Z","2021-38672","9.0","5.2","5.1","2.3",92,38672,HIGH,PARTIAL,CRITICAL,"Windows Hyper-V Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-40461.","NVD-CWE-noinfo",94,92,"5.2","5.1","9.0","2.3","207.6",94
"CVE-2019-16211","2020-10-07T11:07Z","2019-16211","9.8","5.0","10.0","3.9",89,16211,HIGH,PARTIAL,CRITICAL,"Brocade SANnav versions before v2.1.0, contain a Plaintext Password Storage vulnerability.","CWE-522",90,89,"5.0","10.0","9.8","3.9","207.7",90
"CVE-2021-38298","2021-10-15T02:25Z","2021-38298","9.8","7.5","10.0","3.9",105,38298,HIGH,PARTIAL,CRITICAL,"Zoho ManageEngine ADManager Plus before 7110 is vulnerable to blind XXE.","CWE-611",72,105,"7.5","10.0","9.8","3.9","208.2",72
"CVE-2020-16257","2021-07-21T11:39Z","2020-16257","9.8","10.0","10.0","3.9",105,16257,HIGH,COMPLETE,CRITICAL,"Winston 1.5.4 devices are vulnerable to command injection via the API.","CWE-78",70,105,"10.0","10.0","9.8","3.9","208.7",70
"CVE-2020-17095","2021-03-03T21:09Z","2020-17095","9.9","9.0","8.0","3.1",136,17095,HIGH,COMPLETE,CRITICAL,"Hyper-V Remote Code Execution Vulnerability","NVD-CWE-noinfo",43,136,"9.0","8.0","9.9","3.1","209.0",43
"CVE-2021-26599","2022-03-30T15:43Z","2021-26599","9.8","7.5","10.0","3.9",104,26599,HIGH,PARTIAL,CRITICAL,"ImpressCMS before 1.4.3 allows include/findusers.php groups SQL Injection.","CWE-89",74,104,"7.5","10.0","9.8","3.9","209.2",74
"CVE-2018-14528","2019-07-15T13:50Z","2018-14528","9.8","10.0","10.0","3.9",100,14528,HIGH,COMPLETE,CRITICAL,"Invoxia NVX220 devices allow TELNET access as admin with a default password.","CWE-798",76,100,"10.0","10.0","9.8","3.9","209.7",76
"CVE-2021-37597","2021-08-24T18:18Z","2021-37597","9.8","7.5","10.0","3.9",94,37597,HIGH,PARTIAL,CRITICAL,"WP Cerber before 8.9.3 allows MFA bypass via wordpress_logged_in_[hash] manipulation.","CWE-287",85,94,"7.5","10.0","9.8","3.9","210.2",85
"CVE-2018-16444","2018-10-25T01:36Z","2018-16444","9.1","6.4","10.0","3.9",87,16444,HIGH,PARTIAL,CRITICAL,"An issue was discovered in SeaCMS 6.61. adm1n/admin_reslib.php has SSRF via the url parameter.","CWE-918",94,87,"6.4","10.0","9.1","3.9","210.4",94
"CVE-2021-45497","2022-01-04T20:55Z","2021-45497","9.8","10.0","10.0","3.9",101,45497,HIGH,COMPLETE,CRITICAL,"NETGEAR D7000 devices before 1.0.1.82 are affected by authentication bypass.","CWE-287",76,101,"10.0","10.0","9.8","3.9","210.7",76
"CVE-2021-43202","2021-12-01T15:49Z","2021-43202","9.8","7.5","10.0","3.9",89,43202,HIGH,PARTIAL,CRITICAL,"In JetBrains TeamCity before 2021.1.3, the X-Frame-Options header is missing in some cases.","NVD-CWE-noinfo",91,89,"7.5","10.0","9.8","3.9","211.2",91
"CVE-2021-33497","2021-05-27T19:37Z","2021-33497","9.1","6.4","10.0","3.9",99,33497,NONE,NONE,CRITICAL,"Dutchcoders transfer.sh before 1.2.4 allows Directory Traversal for deleting files.","CWE-22",83,99,"6.4","10.0","9.1","3.9","211.4",83
"CVE-2017-17735","2018-01-04T15:18Z","2017-17735","9.8","5.0","10.0","3.9",93,17735,HIGH,PARTIAL,CRITICAL,"CMS Made Simple (CMSMS) before 2.2.5 does not properly cache login information in cookies.","CWE-200",90,93,"5.0","10.0","9.8","3.9","211.7",90
"CVE-2021-41591","2021-10-20T14:41Z","2021-41591","9.4","7.5","10.0","3.9",104,41591,LOW,PARTIAL,CRITICAL,"ACINQ Eclair before 0.6.3 allows loss of funds because of dust HTLC exposure.","CWE-863",77,104,"7.5","10.0","9.4","3.9","211.8",77
"CVE-2021-44949","2021-12-15T20:37Z","2021-44949","9.8","7.5","10.0","3.9",88,44949,HIGH,PARTIAL,CRITICAL,"glFusion CMS 1.7.9 is affected by an access control vulnerability via /public_html/users.php.","CWE-287",93,88,"7.5","10.0","9.8","3.9","212.2",93
"CVE-2021-45498","2022-01-04T21:01Z","2021-45498","9.8","10.0","10.0","3.9",101,45498,HIGH,COMPLETE,CRITICAL,"NETGEAR R6700v2 devices before 1.2.0.88 are affected by authentication bypass.","CWE-287",78,101,"10.0","10.0","9.8","3.9","212.7",78
"CVE-2021-23702","2022-02-25T19:15Z","2021-23702","9.8","7.5","10.0","3.9",89,23702,HIGH,PARTIAL,CRITICAL,"The package object-extend from 0.0.0 are vulnerable to Prototype Pollution via object-extend.","CWE-1321",93,89,"7.5","10.0","9.8","3.9","213.2",93
"CVE-2021-23663","2021-12-14T18:49Z","2021-23663","9.8","7.5","10.0","3.9",88,23663,HIGH,PARTIAL,CRITICAL,"All versions of package sey are vulnerable to Prototype Pollution via the deepmerge() function.","CWE-1321",95,88,"7.5","10.0","9.8","3.9","214.2",95
"CVE-2021-42091","2021-10-14T13:46Z","2021-42091","9.1","6.4","10.0","3.9",89,42091,HIGH,PARTIAL,CRITICAL,"An issue was discovered in Zammad before 4.1.1. SSRF can occur via GitHub or GitLab integration.","CWE-918",96,89,"6.4","10.0","9.1","3.9","214.4",96
"CVE-2020-26105","2021-07-21T11:39Z","2020-26105","9.8","5.0","10.0","3.9",89,26105,HIGH,PARTIAL,CRITICAL,"In cPanel before 88.0.3, insecure chkservd test credentials are used on a templated VM (SEC-554).","CWE-287",97,89,"5.0","10.0","9.8","3.9","214.7",97
"CVE-2021-38578","2022-03-10T02:12Z","2021-38578","9.8","7.5","10.0","3.9",89,38578,HIGH,PARTIAL,CRITICAL,"Existing CommBuffer checks in SmmEntryPoint will not catch underflow when computing BufferSize.","CWE-787",95,89,"7.5","10.0","9.8","3.9","215.2",95
"CVE-2021-43183","2021-11-12T13:29Z","2021-43183","9.8","7.5","10.0","3.9",89,43183,HIGH,PARTIAL,CRITICAL,"In JetBrains Hub before 2021.1.13690, the authentication throttling mechanism could be bypassed.","CWE-287",96,89,"7.5","10.0","9.8","3.9","216.2",96
"CVE-2020-21787","2021-06-30T20:34Z","2020-21787","9.8","10.0","10.0","3.9",88,21787,HIGH,COMPLETE,CRITICAL,"CRMEB 3.1.0+ is vulnerable to File Upload Getshell via /crmeb/crmeb/services/UploadService.php.","CWE-434",95,88,"10.0","10.0","9.8","3.9","216.7",95
"CVE-2021-26443","2021-11-10T16:01Z","2021-26443","9.0","7.7","5.1","2.3",120,26443,HIGH,COMPLETE,CRITICAL,"Microsoft Virtual Machine Bus (VMBus) Remote Code Execution Vulnerability","NVD-CWE-noinfo",73,120,"7.7","5.1","9.0","2.3","217.1",73
"CVE-2021-32234","2021-11-18T21:30Z","2021-32234","9.8","7.5","10.0","3.9",95,32234,HIGH,PARTIAL,CRITICAL,"SmarterTools SmarterMail 16.x through 100.x before 100.0.7803 allows remote code execution.","NVD-CWE-noinfo",91,95,"7.5","10.0","9.8","3.9","217.2",91
